error: Nov-25-2021 09:45:52: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 09:52:11: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 09:56:16: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 10:07:40: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 10:08:18: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 10:14:15: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 10:16:54: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 10:17:35: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 10:17:55: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 10:19:15: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 10:23:13: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 10:24:05: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 10:24:18: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 10:26:03: 	401 Login Failed ||  undefined - /user/login - POST - ::1
error: Nov-25-2021 14:09:21: 	500 Error ||  Internal Server Error - /category/getAllCategories - GET - ::1
error: Nov-25-2021 14:09:23: 	500 Error ||  Internal Server Error - /category/getAllCategories - GET - ::ffff:127.0.0.1
error: Nov-25-2021 14:09:24: 	500 Error ||  Internal Server Error - /category/getAllCategories - GET - ::ffff:127.0.0.1
error: Nov-25-2021 14:09:24: 	500 Error ||  Internal Server Error - /category/getAllCategories - GET - ::1
error: Nov-25-2021 14:09:29: 	500 Error ||  Internal Server Error - /category/getAllCategories - GET - ::1
error: Nov-25-2021 14:09:31: 	500 Error ||  Internal Server Error - /category/getAllCategories - GET - ::1
error: Nov-25-2021 14:14:12: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /game/getBSellers/ - GET - undefined
error: Nov-25-2021 14:30:03: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - GET - ::1
error: Nov-25-2021 14:30:25: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - GET - ::1
error: Nov-25-2021 14:35:29: 	500 Error ||  Internal Server Error - /category/getAllCategories - GET - undefined
error: Nov-25-2021 14:35:30: 	500 Error ||  Internal Server Error - /category/getAllCategories - GET - ::1
error: Nov-25-2021 14:35:31: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - GET - ::1
error: Nov-25-2021 14:44:35: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - GET - ::1
error: Nov-25-2021 14:50:44: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - GET - ::ffff:127.0.0.1
error: Nov-25-2021 14:53:17: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - GET - ::1
error: Nov-25-2021 15:02:31: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:03:25: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:03:27: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:03:28: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:03:29: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:03:31: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:03:32: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:03:34: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:03:52: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - POST - ::ffff:127.0.0.1
error: Nov-25-2021 15:03:54: 	TypeError: Cannot read property 'rows' of undefined ||  undefined - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:17:05: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:17:07: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:17:29: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /game/getBSellers/ - GET - undefined
error: Nov-25-2021 15:17:30: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /game/getBSellers/ - GET - undefined
error: Nov-25-2021 15:17:30: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /game/getBSellers/ - GET - undefined
error: Nov-25-2021 15:17:32: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /game/getBSellers/ - GET - undefined
error: Nov-25-2021 15:17:32: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:17:34: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:49:16: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:52:46: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /order/orderHistory - POST - ::1
error: Nov-25-2021 15:54:12: 	TypeError: Cannot read property 'rows' of undefined ||  Internal Server Error - /order/orderHistory - POST - ::1
